Detailed Statistics Arrivals  
Destination Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 3
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes)
"WN","04/03/2020","0016","","PHX","14:15","00:00","0"
"WN","04/03/2020","0037","","SJC","09:30","00:00","0"
"WN","04/03/2020","0052","N416WN","DAL","21:50","21:28","-22"
"WN","04/03/2020","0144","N954WN","PHX","18:45","18:34","-11"
"WN","04/03/2020","0146","N8563Z","DAL","06:55","06:40","-15"
"WN","04/03/2020","0147","N8655D","AUS","23:45","23:36","-9"
"WN","04/03/2020","0149","","BHM","15:00","00:00","0"
"WN","04/03/2020","0178","N215WN","DAL","08:50","08:39","-11"
"WN","04/03/2020","0194","","BNA","08:25","00:00","0"
"WN","04/03/2020","0206","N275WN","MDW","17:50","17:41","-9"
"WN","04/03/2020","0283","","IND","13:10","00:00","0"
"WN","04/03/2020","0378","","SLC","16:40","00:00","0"
"WN","04/03/2020","0392","","BNA","14:30","00:00","0"
"WN","04/03/2020","0477","","BWI","09:00","00:00","0"
"WN","04/03/2020","0493","","MDW","11:50","00:00","0"
"WN","04/03/2020","0501","","BWI","17:50","00:00","0"
"WN","04/03/2020","0540","","SMF","18:40","00:00","0"
"WN","04/03/2020","0549","","CMH","11:20","00:00","0"
"WN","04/03/2020","0554","N8507C","MSY","19:20","19:04","-16"
"WN","04/03/2020","0568","N8518R","STL","20:05","19:41","-24"
"WN","04/03/2020","0610","","HOU","08:35","00:00","0"
"WN","04/03/2020","0663","N8502Z","OKC","20:05","19:56","-9"
"WN","04/03/2020","0681","N220WN","PHX","23:40","23:07","-33"
"WN","04/03/2020","0693","","MCI","18:35","00:00","0"
"WN","04/03/2020","0727","","MKE","15:40","00:00","0"
"WN","04/03/2020","0732","N258WN","MDW","23:10","22:59","-11"
"WN","04/03/2020","0739","","FLL","11:25","00:00","0"
"WN","04/03/2020","0748","N496WN","DEN","08:20","08:04","-16"
"WN","04/03/2020","0776","","LAX","10:10","00:00","0"
"WN","04/03/2020","0785","","LAX","06:20","00:00","0"
"WN","04/03/2020","0790","","SJC","11:05","00:00","0"
"WN","04/03/2020","0793","","MSY","08:45","00:00","0"
"WN","04/03/2020","0801","","SMF","08:35","00:00","0"
"WN","04/03/2020","0813","N7842A","RNO","22:50","22:45","-5"
"WN","04/03/2020","0816","","IND","07:10","00:00","0"
"WN","04/03/2020","0847","","SFO","18:10","00:00","0"
"WN","04/03/2020","0854","","ATL","17:15","00:00","0"
"WN","04/03/2020","0862","","MDW","15:40","00:00","0"
"WN","04/03/2020","0863","","DEN","13:10","00:00","0"
"WN","04/03/2020","0945","","HOU","15:15","00:00","0"
"WN","04/03/2020","0949","N8547V","LAX","23:20","23:05","-15"
"WN","04/03/2020","0953","","PDX","08:15","00:00","0"
"WN","04/03/2020","0960","","SNA","14:00","00:00","0"
"WN","04/03/2020","1034","","HOU","11:45","00:00","0"
"WN","04/03/2020","1078","N557WN","LAX","20:55","20:33","-22"
"WN","04/03/2020","1097","N7730A","SAN","00:05","23:41","-24"
"WN","04/03/2020","1118","N8552Z","RNO","21:15","21:18","3"
