Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 3
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","04/03/2020","0037","","DAL","10:10","00:00","0"
"WN","04/03/2020","0052","N416WN","LAX","22:25","22:21","-4"
"WN","04/03/2020","0140","","BWI","18:30","00:00","0"
"WN","04/03/2020","0144","N954WN","LAX","19:40","19:41","1"
"WN","04/03/2020","0146","","DEN","07:50","00:00","0"
"WN","04/03/2020","0150","","BWI","15:15","00:00","0"
"WN","04/03/2020","0167","","LAX","13:00","00:00","0"
"WN","04/03/2020","0178","","BWI","09:45","00:00","0"
"WN","04/03/2020","0180","","AUS","21:15","00:00","0"
"WN","04/03/2020","0195","N8572X","BUF","09:10","09:05","-5"
"WN","04/03/2020","0237","N283WN","OAK","20:05","20:00","-5"
"WN","04/03/2020","0245","N959WN","BUR","19:30","19:24","-6"
"WN","04/03/2020","0284","","MDW","13:55","00:00","0"
"WN","04/03/2020","0347","N8629A","DAL","05:50","05:46","-4"
"WN","04/03/2020","0378","N916WN","SJC","17:20","17:25","5"
"WN","04/03/2020","0393","N8509U","MCI","15:45","15:38","-7"
"WN","04/03/2020","0477","N251WN","OKC","09:55","10:42","47"
"WN","04/03/2020","0493","","AMA","12:30","00:00","0"
"WN","04/03/2020","0505","","PHX","08:20","00:00","0"
"WN","04/03/2020","0549","N497WN","SNA","12:00","11:58","-2"
"WN","04/03/2020","0555","","MSY","20:10","00:00","0"
"WN","04/03/2020","0558","","IND","13:15","00:00","0"
"WN","04/03/2020","0568","N8518R","SAN","20:50","20:45","-5"
"WN","04/03/2020","0610","","RNO","09:15","00:00","0"
"WN","04/03/2020","0627","","BNA","05:00","00:00","0"
"WN","04/03/2020","0644","","SMF","11:05","00:00","0"
"WN","04/03/2020","0663","N8502Z","TUS","20:55","20:50","-5"
"WN","04/03/2020","0673","N7866A","PHX","16:45","16:41","-4"
"WN","04/03/2020","0675","","PHX","05:45","00:00","0"
"WN","04/03/2020","0678","N289CT","GEG","10:50","10:40","-10"
"WN","04/03/2020","0693","N215WN","PHX","19:15","19:13","-2"
"WN","04/03/2020","0705","","LIT","12:55","00:00","0"
"WN","04/03/2020","0727","","SAN","16:25","00:00","0"
"WN","04/03/2020","0739","","OAK","12:05","00:00","0"
"WN","04/03/2020","0748","N496WN","LAX","09:05","09:00","-5"
"WN","04/03/2020","0776","N405WN","DEN","10:50","10:51","1"
"WN","04/03/2020","0788","N8315C","MDW","06:15","06:16","1"
"WN","04/03/2020","0790","","LBB","11:55","00:00","0"
"WN","04/03/2020","0793","N7819A","MDW","09:25","09:19","-6"
"WN","04/03/2020","0801","","BNA","09:20","00:00","0"
"WN","04/03/2020","0816","N8544Z","AUS","08:05","08:00","-5"
"WN","04/03/2020","0847","N447WN","SAN","18:50","18:55","5"
"WN","04/03/2020","0854","","DAL","18:00","00:00","0"
"WN","04/03/2020","0862","","OAK","16:25","00:00","0"
"WN","04/03/2020","0863","","PHX","13:55","00:00","0"
"WN","04/03/2020","0931","N478WN","MDW","20:40","20:40","0"
"WN","04/03/2020","0940","N8507C","MCI","20:10","20:04","-6"
"WN","04/03/2020","0945","N954WN","PHX","15:55","15:52","-3"
"WN","04/03/2020","0953","","ATL","09:05","00:00","0"
"WN","04/03/2020","0955","","PHX","12:25","00:00","0"
"WN","04/03/2020","1099","","PDX","06:10","00:00","0"
"WN","04/03/2020","1118","N7737E","GEG","21:55","21:53","-2"
"WN","04/03/2020","1124","N240WN","OAK","11:10","11:02","-8"
"WN","04/03/2020","1164","","OAK","13:05","00:00","0"
"WN","04/03/2020","1206","","SJC","11:50","00:00","0"
"WN","04/03/2020","1229","N241WN","SAT","20:05","20:05","0"
"WN","04/03/2020","1241","N8656B","TPA","10:40","10:32","-8"
"WN","04/03/2020","1247","N8529Z","DAL","16:25","17:22","57"
"WN","04/03/2020","1270","N7852A","BUR","20:50","20:45","-5"
"WN","04/03/2020","1271","","SAT","06:25","00:00","0"
"WN","04/03/2020","1276","N959WN","BUR","13:10","13:15","5"
"WN","04/03/2020","1286","N701GS","ATL","18:05","18:04","-1"
"WN","04/03/2020","1306","N205WN","SLC","16:55","16:50","-5"
"WN","04/03/2020","1311","","PHX","10:00","00:00","0"
"WN","04/03/2020","1312","N7862A","BUR","18:10","18:12","2"
"WN","04/03/2020","1339","","AUS","05:25","00:00","0"
"WN","04/03/2020","1359","","BUR","08:10","00:00","0"
"WN","04/03/2020","1371","N226WN","BUR","11:35","11:30","-5"
"WN","04/03/2020","1398","","SJC","13:50","00:00","0"
"WN","04/03/2020","1407","","SMF","12:40","00:00","0"
"WN","04/03/2020","1412","N8522P","OMA","13:05","12:59","-6"
"WN","04/03/2020","1414","N244WN","ONT","22:10","22:09","-1"
"WN","04/03/2020","1417","N273WN","DEN","18:55","18:49","-6"
"WN","04/03/2020","1454","","SFO","05:20","00:00","0"
"WN","04/03/2020","1502","N8571Z","MDW","19:40","19:42","2"
"WN","04/03/2020","1521","N8533S","OAK","17:15","17:09","-6"
"WN","04/03/2020","1523","N8317M","SJC","21:30","21:20","-10"
"WN","04/03/2020","1568","","SNA","09:45","00:00","0"
"WN","04/03/2020","1592","N555LV","SLC","14:10","14:03","-7"
"WN","04/03/2020","1603","N8547V","LAX","20:30","20:24","-6"
"WN","04/03/2020","1604","","RNO","12:55","00:00","0"
"WN","04/03/2020","1614","","HOU","19:10","00:00","0"
"WN","04/03/2020","1641","","LAX","14:30","00:00","0"
"WN","04/03/2020","1645","","SLC","11:25","00:00","0"
"WN","04/03/2020","1649","","ONT","07:55","00:00","0"
"WN","04/03/2020","1670","N792SW","TUL","12:20","12:27","7"
"WN","04/03/2020","1674","","MAF","13:20","00:00","0"
"WN","04/03/2020","1679","","MCI","05:05","00:00","0"
"WN","04/03/2020","1685","N923WN","BOI","09:00","09:02","2"
"WN","04/03/2020","1690","N454WN","RNO","19:15","19:14","-1"
