Detailed Statistics Arrivals  
Destination Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): May
Day(s): 4
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes)
"WN","05/04/2020","0107","N238WN","ABQ","10:30","10:15","-15"
"WN","05/04/2020","0167","N8577Z","AUS","08:00","07:40","-20"
"WN","05/04/2020","0186","N284WN","LAX","18:55","18:52","-3"
"WN","05/04/2020","0197","N7729A","PHX","14:20","14:25","5"
"WN","05/04/2020","0200","N418WN","STL","18:55","19:00","5"
"WN","05/04/2020","0225","N8606C","SJC","08:25","08:04","-21"
"WN","05/04/2020","0267","N410WN","MCI","13:15","13:39","24"
"WN","05/04/2020","0274","N449WN","BUR","19:00","18:55","-5"
"WN","05/04/2020","0285","N8670A","FLL","15:00","14:51","-9"
"WN","05/04/2020","0333","N8687A","MCO","13:10","12:49","-21"
"WN","05/04/2020","0335","N466WN","BWI","11:25","11:44","19"
"WN","05/04/2020","0381","N8503A","AUS","18:20","18:15","-5"
"WN","05/04/2020","0391","N8601C","OAK","09:25","09:02","-23"
"WN","05/04/2020","0392","N8679A","TPA","15:15","15:16","1"
"WN","05/04/2020","0393","N239WN","PHX","16:20","16:16","-4"
"WN","05/04/2020","0419","N7833A","BWI","19:15","20:08","53"
"WN","05/04/2020","0424","N8310C","DEN","17:00","16:49","-11"
"WN","05/04/2020","0425","N8324A","PHX","20:50","20:30","-20"
"WN","05/04/2020","0444","N490WN","MCI","18:30","18:28","-2"
"WN","05/04/2020","0457","N8625A","SFO","11:15","10:55","-20"
"WN","05/04/2020","0484","N432WN","BNA","10:35","10:52","17"
"WN","05/04/2020","0504","N8655D","HOU","09:15","00:00","0"
"WN","05/04/2020","0505","N959WN","SJC","13:25","13:05","-20"
"WN","05/04/2020","0509","N742SW","DEN","21:00","20:45","-15"
"WN","05/04/2020","0536","N551WN","SMF","08:55","08:40","-15"
"WN","05/04/2020","0609","N8694E","IND","10:25","10:34","9"
"WN","05/04/2020","0644","N401WN","LAX","08:10","07:56","-14"
"WN","05/04/2020","0675","N763SW","TUS","09:15","09:01","-14"
"WN","05/04/2020","0779","N8514F","SAT","14:50","14:53","3"
"WN","05/04/2020","0780","N8572X","PDX","14:00","15:29","89"
"WN","05/04/2020","0793","N461WN","MDW","21:45","21:44","-1"
"WN","05/04/2020","0841","N434WN","RNO","12:45","12:33","-12"
"WN","05/04/2020","0864","N218WN","BHM","15:15","15:12","-3"
"WN","05/04/2020","0955","N903WN","SAN","14:30","14:12","-18"
"WN","05/04/2020","1011","N7725A","SMF","13:20","13:15","-5"
"WN","05/04/2020","1016","N8676A","IND","17:55","18:00","5"
"WN","05/04/2020","1030","N556WN","PHX","11:40","00:00","0"
"WN","05/04/2020","1040","N755SA","PDX","09:05","08:59","-6"
"WN","05/04/2020","1041","N755SA","CMH","19:00","19:01","1"
"WN","05/04/2020","1067","N7724A","MDW","14:55","15:03","8"
"WN","05/04/2020","1069","N275WN","RNO","19:55","19:31","-24"
"WN","05/04/2020","1097","N8547V","SMF","16:10","15:54","-16"
"WN","05/04/2020","1100","N915WN","RNO","10:20","10:07","-13"
"WN","05/04/2020","1122","N8687A","DAL","20:45","20:32","-13"
"WN","05/04/2020","1152","N8684F","ATL","18:00","17:49","-11"
"WN","05/04/2020","1153","N955WN","RNO","08:25","08:03","-22"
"WN","05/04/2020","1184","N553WN","HOU","15:00","14:59","-1"
"WN","05/04/2020","1206","N8669B","SAN","19:20","18:58","-22"
"WN","05/04/2020","1211","N747SA","MDW","12:25","12:35","10"
"WN","05/04/2020","1243","N8532S","SFO","08:30","08:09","-21"
"WN","05/04/2020","1246","N435WN","LBB","18:05","17:50","-15"
"WN","05/04/2020","1312","N406WN","LAX","15:55","15:30","-25"
"WN","05/04/2020","1313","N223WN","OMA","18:10","18:03","-7"
"WN","05/04/2020","1326","N739GB","SJC","11:20","10:57","-23"
"WN","05/04/2020","1334","N8642E","DEN","10:00","10:02","2"
"WN","05/04/2020","1348","N8685B","BNA","17:55","18:01","6"
"WN","05/04/2020","1363","N250WN","DAL","09:15","09:05","-10"
"WN","05/04/2020","1366","N275WN","RNO","15:05","14:45","-20"
"WN","05/04/2020","1415","N7733B","ATL","10:40","10:35","-5"
"WN","05/04/2020","1421","N569WN","SNA","12:25","11:58","-27"
"WN","05/04/2020","1444","N423WN","LAX","12:40","12:18","-22"
"WN","05/04/2020","1462","N482WN","MKE","15:25","15:25","0"
"WN","05/04/2020","1464","N250WN","SJC","19:15","18:59","-16"
"WN","05/04/2020","1486","N8652B","ONT","12:00","13:42","102"
"WN","05/04/2020","1525","N411WN","SNA","18:00","17:41","-19"
"WN","05/04/2020","1538","N8508W","BOI","07:40","07:33","-7"
"WN","05/04/2020","1551","N8693A","SFO","19:30","18:54","-36"
"WN","05/04/2020","1571","N8329B","DEN","12:25","12:21","-4"
"WN","05/04/2020","1586","N8512U","OAK","21:20","21:03","-17"
"WN","05/04/2020","1626","N257WN","BUR","15:05","14:42","-23"
"WN","05/04/2020","1705","N569WN","PDX","18:15","17:57","-18"
"WN","05/04/2020","1744","N299WN","MDW","17:00","17:04","4"
"WN","05/04/2020","1808","N949WN","MDW","18:55","18:54","-1"
"WN","05/04/2020","1890","N284WN","BWI","15:20","15:31","11"
"WN","05/04/2020","1935","N8327A","CMH","07:45","07:59","14"
"WN","05/04/2020","2004","N8524Z","HOU","20:00","19:41","-19"
"WN","05/04/2020","2093","N274WN","SEA","17:20","17:00","-20"
"WN","05/04/2020","2117","N7867A","DAL","14:40","14:32","-8"
"WN","05/04/2020","2161","N8568Z","PIT","15:15","15:31","16"
"WN","05/04/2020","2196","N8524Z","STL","10:45","11:00","15"
"WN","05/04/2020","2347","N8503A","GEG","10:20","10:13","-7"
"WN","05/04/2020","4478","N8642E","GEG","16:10","15:57","-13"
"WN","05/04/2020","6066","N441WN","SLC","12:45","12:33","-12"

 SOURCE: Bureau of Transportation Statistics
