Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): May
Day(s): 4
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","05/04/2020","0107","N238WN","BWI","11:10","11:01","-9"
"WN","05/04/2020","0168","N8606C","MCI","09:05","09:04","-1"
"WN","05/04/2020","0197","N7729A","MDW","15:15","15:08","-7"
"WN","05/04/2020","0202","N284WN","SMF","19:30","19:31","1"
"WN","05/04/2020","0225","N8577Z","HOU","09:15","09:09","-6"
"WN","05/04/2020","0235","N915WN","RNO","07:10","07:05","-5"
"WN","05/04/2020","0258","N262WN","OMA","08:50","08:48","-2"
"WN","05/04/2020","0259","N218WN","ATL","16:00","15:57","-3"
"WN","05/04/2020","0267","N410WN","PHX","13:55","14:03","8"
"WN","05/04/2020","0274","N742SW","GEG","19:50","22:26","156"
"WN","05/04/2020","0297","N8679A","FLL","16:10","16:16","6"
"WN","05/04/2020","0333","N8687A","DAL","14:00","14:00","0"
"WN","05/04/2020","0336","N466WN","TUS","12:25","12:19","-6"
"WN","05/04/2020","0352","N8503A","SJC","19:45","19:44","-1"
"WN","05/04/2020","0367","N8642E","MDW","17:35","17:33","-2"
"WN","05/04/2020","0387","N550WN","SNA","16:10","16:05","-5"
"WN","05/04/2020","0396","N8547V","DEN","16:55","16:50","-5"
"WN","05/04/2020","0404","N405WN","PIT","15:55","16:40","45"
"WN","05/04/2020","0411","N8670A","PHX","15:45","15:51","6"
"WN","05/04/2020","0419","N7833A","SLC","20:05","21:09","64"
"WN","05/04/2020","0422","N8568Z","BWI","16:05","16:05","0"
"WN","05/04/2020","0424","N8310C","DAL","17:55","17:52","-3"
"WN","05/04/2020","0434","N735SA","BWI","07:00","06:54","-6"
"WN","05/04/2020","0452","N443WN","BUR","08:55","08:50","-5"
"WN","05/04/2020","0457","N8625A","MCO","12:05","12:01","-4"
"WN","05/04/2020","0504","N8601C","TPA","10:10","10:10","0"
"WN","05/04/2020","0505","N959WN","HOU","14:05","14:00","-5"
"WN","05/04/2020","0536","N8532S","DEN","09:30","09:26","-4"
"WN","05/04/2020","0595","N7733B","ABQ","12:20","12:17","-3"
"WN","05/04/2020","0597","N949WN","SAN","19:50","19:55","5"
"WN","05/04/2020","0609","N8503A","AUS","11:15","11:09","-6"
"WN","05/04/2020","0644","N401WN","BNA","09:05","08:59","-6"
"WN","05/04/2020","0647","N445WN","MDW","07:05","07:01","-4"
"WN","05/04/2020","0662","N7725A","MKE","14:00","14:01","1"
"WN","05/04/2020","0694","N755SA","PDX","19:35","19:33","-2"
"WN","05/04/2020","0779","N8514F","IND","15:40","15:41","1"
"WN","05/04/2020","0780","N8572X","SAN","14:55","16:05","70"
"WN","05/04/2020","0839","N739GB","BUR","13:50","13:58","8"
"WN","05/04/2020","0892","N490WN","BOI","19:10","19:09","-1"
"WN","05/04/2020","0927","N423WN","LAX","13:25","13:26","1"
"WN","05/04/2020","0955","N903WN","SEA","15:15","15:14","-1"
"WN","05/04/2020","0999","N257WN","OAK","17:00","16:53","-7"
"WN","05/04/2020","1017","N435WN","BUR","18:55","18:49","-6"
"WN","05/04/2020","1031","N8642E","GEG","11:00","10:56","-4"
"WN","05/04/2020","1040","N755SA","CMH","09:55","09:55","0"
"WN","05/04/2020","1045","N482WN","OMA","17:20","17:16","-4"
"WN","05/04/2020","1076","N8601C","SFO","09:40","00:00","0"
"WN","05/04/2020","1100","N915WN","SAN","11:05","11:00","-5"
"WN","05/04/2020","1152","N8684F","RNO","18:55","18:54","-1"
"WN","05/04/2020","1153","N955WN","PDX","09:05","09:21","16"
"WN","05/04/2020","1156","N432WN","DEN","11:15","11:31","16"
"WN","05/04/2020","1159","N418WN","ABQ","19:55","19:50","-5"
"WN","05/04/2020","1184","N553WN","CMH","15:45","15:40","-5"
"WN","05/04/2020","1206","N8669B","DEN","20:05","20:01","-4"
"WN","05/04/2020","1228","N250WN","SNA","09:55","09:50","-5"
"WN","05/04/2020","1242","N8649A","DAL","09:25","09:26","1"
"WN","05/04/2020","1301","N8652B","DEN","13:05","14:44","99"
"WN","05/04/2020","1312","N406WN","BNA","16:40","16:36","-4"
"WN","05/04/2020","1313","N223WN","ONT","18:50","18:51","1"
"WN","05/04/2020","1349","N8685B","HOU","18:45","18:41","-4"
"WN","05/04/2020","1350","N960WN","ATL","08:25","08:20","-5"
"WN","05/04/2020","1415","N727SW","RNO","11:20","00:00","0"
"WN","05/04/2020","1421","N569WN","PDX","13:05","13:06","1"
"WN","05/04/2020","1525","N569WN","MCI","18:40","18:34","-6"
"WN","05/04/2020","1535","N747SA","MDW","13:15","13:21","6"
"WN","05/04/2020","1538","N8508W","SMF","08:25","08:21","-4"
"WN","05/04/2020","1571","N8329B","OAK","13:10","13:09","-1"
"WN","05/04/2020","1596","N763SW","BHM","09:50","09:48","-2"
"WN","05/04/2020","1705","N239WN","LBB","18:55","18:50","-5"
"WN","05/04/2020","1740","N434WN","RNO","13:25","13:20","-5"
"WN","05/04/2020","1744","N299WN","SFO","17:45","17:42","-3"
"WN","05/04/2020","1745","N8694E","MDW","11:00","11:23","23"
"WN","05/04/2020","1762","N8511K","DEN","07:50","07:48","-2"
"WN","05/04/2020","1795","N551WN","PHX","10:05","10:01","-4"
"WN","05/04/2020","1890","N284WN","LAX","16:00","16:07","7"
"WN","05/04/2020","2004","N8524Z","LAX","20:40","20:40","0"
"WN","05/04/2020","2063","N8543Z","SAT","18:55","19:17","22"
"WN","05/04/2020","2093","N274WN","PHX","18:00","17:58","-2"
"WN","05/04/2020","2117","N7867A","SMF","15:20","15:13","-7"
"WN","05/04/2020","2130","N275WN","RNO","16:00","16:00","0"
"WN","05/04/2020","4523","N8524Z","SAT","11:25","11:28","3"
"WN","05/04/2020","4622","N450WN","STL","07:00","07:03","3"
"WN","05/04/2020","6066","N441WN","STL","13:25","13:23","-2"

 SOURCE: Bureau of Transportation Statistics
