Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): July
Day(s): 4
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","07/04/2020","0019","N8503A","ONT","11:15","11:13","-2"
"WN","07/04/2020","0054","N8654B","BOI","18:45","18:41","-4"
"WN","07/04/2020","0106","N7858A","PHX","12:25","12:22","-3"
"WN","07/04/2020","0116","N937WN","PHX","16:50","16:44","-6"
"WN","07/04/2020","0162","N7811F","BUR","12:15","12:12","-3"
"WN","07/04/2020","0204","N8625A","MDW","13:35","13:28","-7"
"WN","07/04/2020","0269","N917WN","OAK","16:55","17:16","21"
"WN","07/04/2020","0287","N8582Z","RNO","07:05","07:00","-5"
"WN","07/04/2020","0290","N738CB","ABQ","18:55","18:49","-6"
"WN","07/04/2020","0310","N742SW","DAL","08:50","08:45","-5"
"WN","07/04/2020","0422","N8561Z","BWI","11:35","11:33","-2"
"WN","07/04/2020","0432","N8310C","OAK","13:35","13:57","22"
"WN","07/04/2020","0444","N214WN","CMH","11:25","11:18","-7"
"WN","07/04/2020","0461","N8668A","OAK","09:15","09:11","-4"
"WN","07/04/2020","0497","N425LV","STL","13:45","13:51","6"
"WN","07/04/2020","0553","N465WN","SJC","17:35","17:29","-6"
"WN","07/04/2020","0554","N295WN","MAF","13:30","13:29","-1"
"WN","07/04/2020","0572","N411WN","RNO","12:30","12:39","9"
"WN","07/04/2020","0579","N718SW","PHX","14:55","14:51","-4"
"WN","07/04/2020","0636","N711HK","DEN","15:35","15:32","-3"
"WN","07/04/2020","0668","N8523W","MDW","11:05","11:05","0"
"WN","07/04/2020","0670","N963WN","LBB","13:15","13:11","-4"
"WN","07/04/2020","0743","N7736A","SMF","11:45","11:43","-2"
"WN","07/04/2020","0745","N7751A","IND","10:55","10:48","-7"
"WN","07/04/2020","0756","N901WN","GEG","10:15","10:08","-7"
"WN","07/04/2020","0799","N7725A","SAN","16:25","16:21","-4"
"WN","07/04/2020","0839","N424WN","AUS","09:10","09:06","-4"
"WN","07/04/2020","0866","N414WN","PHX","08:00","08:00","0"
"WN","07/04/2020","0873","N8582Z","HOU","11:25","11:21","-4"
"WN","07/04/2020","0892","N7849A","SNA","08:10","08:02","-8"
"WN","07/04/2020","0934","N8547V","DEN","09:25","09:21","-4"
"WN","07/04/2020","0956","N484WN","SAT","12:05","12:01","-4"
"WN","07/04/2020","0972","N205WN","MSY","14:55","14:49","-6"
"WN","07/04/2020","0973","N566WN","DEN","07:10","07:07","-3"
"WN","07/04/2020","0998","N7867A","HOU","14:40","14:34","-6"
"WN","07/04/2020","1086","N566WN","MCO","15:05","15:14","9"
"WN","07/04/2020","1217","N469WN","SFO","15:05","15:01","-4"
"WN","07/04/2020","1262","N928WN","ONT","08:25","08:17","-8"
"WN","07/04/2020","1313","N278WN","MKE","14:30","14:31","1"
"WN","07/04/2020","1345","N953WN","SFO","12:15","12:13","-2"
"WN","07/04/2020","1393","N468WN","LAX","12:50","13:03","13"
"WN","07/04/2020","1395","N468WN","BUR","16:55","16:51","-4"
"WN","07/04/2020","1531","N8571Z","RNO","19:40","19:40","0"
"WN","07/04/2020","1556","N8688J","DEN","13:15","13:14","-1"
"WN","07/04/2020","1580","N8607M","RNO","09:15","09:16","1"
"WN","07/04/2020","1581","N8607M","SJC","13:30","13:29","-1"
"WN","07/04/2020","1659","N7832A","OMA","09:25","09:19","-6"
"WN","07/04/2020","1697","N200WN","BNA","09:25","09:23","-2"
"WN","07/04/2020","1710","N940WN","DAL","14:00","13:58","-2"
"WN","07/04/2020","1764","N8603F","IND","15:25","15:21","-4"
"WN","07/04/2020","1782","N734SA","RNO","17:30","17:30","0"
"WN","07/04/2020","1861","N294WN","TUS","11:00","10:55","-5"
"WN","07/04/2020","1869","N8663A","ATL","09:20","09:31","11"
"WN","07/04/2020","1897","N8567Z","MCI","12:50","12:46","-4"
"WN","07/04/2020","1910","N8613K","PDX","10:15","10:11","-4"
"WN","07/04/2020","1967","N922WN","ABQ","10:55","10:52","-3"
"WN","07/04/2020","1973","N8545V","SAN","10:00","09:59","-1"
"WN","07/04/2020","2044","N8539V","MDW","09:25","09:27","2"
"WN","07/04/2020","2051","N924WN","SNA","16:50","16:54","4"
"WN","07/04/2020","2078","N734SA","SNA","11:20","11:20","0"
"WN","07/04/2020","2103","N8616C","SAN","12:30","12:24","-6"
"WN","07/04/2020","3051","N8612K","SMF","14:30","14:24","-6"
"WN","07/04/2020","3058","N7852A","ELP","12:50","12:47","-3"
"WN","07/04/2020","3061","N8696E","SAT","17:40","17:39","-1"
"WN","07/04/2020","3072","N7850B","TUS","17:30","17:25","-5"
"WN","07/04/2020","4001","N713SW","PHX","10:20","10:16","-4"
"WN","07/04/2020","5239","N7730A","MDW","12:00","11:55","-5"
"WN","07/04/2020","6007","N276WN","LGB","13:55","13:53","-2"
"WN","07/04/2020","6009","N940WN","LGB","10:25","10:21","-4"
"WN","07/04/2020","6506","N752SW","CMH","08:30","08:25","-5"
"WN","07/04/2020","6622","N739GB","IND","09:30","09:27","-3"
"WN","07/04/2020","6634","N457WN","DAL","12:00","12:05","5"
"WN","07/04/2020","6654","N8615E","SAN","14:50","15:28","38"
"WN","07/04/2020","6658","N8309C","SMF","16:20","16:14","-6"
"WN","07/04/2020","6749","N297WN","MDW","15:20","15:19","-1"

 SOURCE: Bureau of Transportation Statistics
