Detailed Statistics Arrivals  
Destination Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 5
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes)
"WN","04/05/2022","0008","N7830A","DAL","10:45","10:40","-5"
"WN","04/05/2022","0029","N8818Q","HOU","16:40","18:02","82"
"WN","04/05/2022","0113","N909WN","SNA","13:05","13:09","4"
"WN","04/05/2022","0124","N8531Q","DEN","10:30","11:06","36"
"WN","04/05/2022","0148","N7856A","BUR","17:30","18:08","38"
"WN","04/05/2022","0169","N477WN","COS","06:45","06:43","-2"
"WN","04/05/2022","0171","N8640D","ATL","08:20","08:21","1"
"WN","04/05/2022","0187","N8660A","SMF","17:35","17:47","12"
"WN","04/05/2022","0198","N7835A","SEA","07:25","07:09","-16"
"WN","04/05/2022","0220","N564WN","LAX","08:55","08:36","-19"
"WN","04/05/2022","0221","N203WN","MDW","16:30","16:40","10"
"WN","04/05/2022","0227","N900WN","IAH","12:00","12:07","7"
"WN","04/05/2022","0237","N7857B","DEN","07:40","07:40","0"
"WN","04/05/2022","0239","N7835A","OMA","14:15","14:26","11"
"WN","04/05/2022","0247","N8724J","SAN","13:00","12:54","-6"
"WN","04/05/2022","0254","N7742B","SAN","23:05","23:00","-5"
"WN","04/05/2022","0296","N955WN","SJC","19:05","19:13","8"
"WN","04/05/2022","0310","N8643A","BNA","08:25","08:14","-11"
"WN","04/05/2022","0313","N8643A","LAX","14:50","14:52","2"
"WN","04/05/2022","0329","N8801Q","MDW","07:15","07:16","1"
"WN","04/05/2022","0354","N8570W","SMF","12:30","12:39","9"
"WN","04/05/2022","0361","N8695D","STL","23:10","00:11","61"
"WN","04/05/2022","0364","N7822A","DEN","19:55","20:17","22"
"WN","04/05/2022","0382","N910WN","PDX","20:15","20:07","-8"
"WN","04/05/2022","0398","N237WN","BUR","08:30","08:17","-13"
"WN","04/05/2022","0399","N7883A","SNA","21:50","21:34","-16"
"WN","04/05/2022","0404","N403WN","AUS","22:45","23:11","26"
"WN","04/05/2022","0416","N7878A","RNO","23:25","23:06","-19"
"WN","04/05/2022","0431","N7886A","SNA","18:45","18:45","0"
"WN","04/05/2022","0485","N745SW","EUG","14:05","13:57","-8"
"WN","04/05/2022","0493","N7828A","DAL","20:15","20:20","5"
"WN","04/05/2022","0516","N453WN","BUR","21:20","21:11","-9"
"WN","04/05/2022","0553","N7868K","BOI","20:00","19:48","-12"
"WN","04/05/2022","0559","N8513F","OAK","14:45","14:45","0"
"WN","04/05/2022","0561","N8542Z","CMH","06:50","07:03","13"
"WN","04/05/2022","0581","N925WN","AUS","14:55","14:55","0"
"WN","04/05/2022","0605","N7868K","TUL","15:20","15:20","0"
"WN","04/05/2022","0608","N452WN","MAF","13:30","13:33","3"
"WN","04/05/2022","0614","N7733B","SNA","15:40","16:08","28"
"WN","04/05/2022","0620","N7865A","SLC","09:55","10:18","23"
"WN","04/05/2022","0621","N8645A","MCI","11:50","11:58","8"
"WN","04/05/2022","0640","N438WN","MDW","21:10","22:50","100"
"WN","04/05/2022","0651","N220WN","SFO","21:20","00:00","0"
"WN","04/05/2022","0660","N8600F","ONT","14:05","13:51","-14"
"WN","04/05/2022","0678","N452WN","SBA","17:20","17:42","22"
"WN","04/05/2022","0679","N8652B","SJC","21:05","21:54","49"
"WN","04/05/2022","0686","N247WN","LGB","16:50","16:35","-15"
"WN","04/05/2022","0690","N218WN","MCI","16:50","17:17","27"
"WN","04/05/2022","0693","N8607M","ABQ","14:45","14:56","11"
"WN","04/05/2022","0696","N8579Z","ELP","06:45","06:48","3"
"WN","04/05/2022","0705","N235WN","PHX","23:20","00:55","95"
"WN","04/05/2022","0748","N737JW","BUR","22:15","21:58","-17"
"WN","04/05/2022","0756","N7723E","AMA","11:00","10:41","-19"
"WN","04/05/2022","0758","N7830A","LBB","16:15","16:17","2"
"WN","04/05/2022","0762","N8536Z","MDW","23:45","00:37","52"
"WN","04/05/2022","0772","N7815L","ABQ","06:05","05:50","-15"
"WN","04/05/2022","0773","N8690A","MSY","15:30","15:51","21"
"WN","04/05/2022","0790","N927WN","SMF","14:45","15:06","21"
"WN","04/05/2022","0804","N442WN","PHX","08:05","07:55","-10"
"WN","04/05/2022","0820","N235WN","BZN","12:30","12:44","14"
"WN","04/05/2022","0836","N725SW","PHX","08:50","08:42","-8"
"WN","04/05/2022","0850","N8535S","DEN","06:40","06:37","-3"
"WN","04/05/2022","0863","N8748Q","SJC","11:30","11:16","-14"
"WN","04/05/2022","0879","N252WN","PSP","13:30","13:29","-1"
"WN","04/05/2022","0899","N477WN","ABQ","20:55","20:56","1"
"WN","04/05/2022","0909","N8729H","SJC","08:40","08:25","-15"
"WN","04/05/2022","0923","N8520Q","PHX","18:35","19:09","34"
"WN","04/05/2022","0931","N279WN","PIT","13:25","14:51","86"
"WN","04/05/2022","0954","N8804L","HOU","10:35","10:44","9"
"WN","04/05/2022","0957","N773SA","BUR","15:05","15:02","-3"
"WN","04/05/2022","0974","N8570W","DEN","18:10","19:08","58"
"WN","04/05/2022","0978","N8565Z","ELP","16:15","16:02","-13"
"WN","04/05/2022","0979","N935WN","AUS","09:45","09:37","-8"
"WN","04/05/2022","0982","N935WN","ONT","19:20","19:20","0"
"WN","04/05/2022","0988","N946WN","ONT","11:15","11:07","-8"
"WN","04/05/2022","1003","N7884G","SBA","11:25","11:06","-19"
"WN","04/05/2022","1017","N431WN","SJC","14:15","14:27","12"
"WN","04/05/2022","1024","N483WN","DEN","22:15","22:19","4"
"WN","04/05/2022","1033","N281WN","SAT","11:35","11:53","18"
"WN","04/05/2022","1051","N7862A","SNA","17:20","17:25","5"
"WN","04/05/2022","1071","N8329B","HNL","16:00","15:50","-10"
"WN","04/05/2022","1083","N8721J","SAN","18:25","18:13","-12"
"WN","04/05/2022","1103","N8675A","PHX","21:00","21:35","35"
"WN","04/05/2022","1108","N8313F","HOU","06:45","06:42","-3"
"WN","04/05/2022","1111","N8800L","SJC","16:40","16:31","-9"
"WN","04/05/2022","1114","N8747Q","LAX","07:20","07:07","-13"
"WN","04/05/2022","1217","N8553W","OAK","18:05","17:59","-6"
"WN","04/05/2022","1249","N927WN","BUR","18:20","18:22","2"
"WN","04/05/2022","1277","N7833A","LGB","13:40","13:23","-17"
"WN","04/05/2022","1284","N8308K","BNA","23:20","00:02","42"
"WN","04/05/2022","1289","N247WN","TUS","20:35","20:28","-7"
"WN","04/05/2022","1313","N8571Z","SAN","17:35","17:21","-14"
"WN","04/05/2022","1315","N234WN","SNA","20:05","20:22","17"
"WN","04/05/2022","1350","N8561Z","PDX","12:15","11:59","-16"
"WN","04/05/2022","1362","N8668A","DEN","11:15","11:17","2"
"WN","04/05/2022","1364","N8668A","ONT","21:55","21:45","-10"
