Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 5
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","04/05/2022","0106","N265WN","BUR","20:55","21:06","11"
"WN","04/05/2022","0113","N909WN","AMA","13:45","14:02","17"
"WN","04/05/2022","0126","N8558Z","ONT","07:50","07:52","2"
"WN","04/05/2022","0130","N8718Q","OAK","17:25","17:53","28"
"WN","04/05/2022","0156","N8818Q","ATL","17:25","19:36","131"
"WN","04/05/2022","0169","N477WN","BUR","07:35","07:32","-3"
"WN","04/05/2022","0172","N8640D","DEN","09:10","09:20","10"
"WN","04/05/2022","0187","N8712L","DAL","18:20","19:21","61"
"WN","04/05/2022","0197","N7857B","FAT","14:20","16:12","112"
"WN","04/05/2022","0198","N7835A","OMA","08:05","08:05","0"
"WN","04/05/2022","0221","N203WN","BUR","17:10","17:26","16"
"WN","04/05/2022","0227","N900WN","LGB","12:45","12:54","9"
"WN","04/05/2022","0237","N7857B","BUR","08:40","08:36","-4"
"WN","04/05/2022","0239","N7835A","SNA","15:00","15:07","7"
"WN","04/05/2022","0244","N564WN","BUR","09:45","10:02","17"
"WN","04/05/2022","0296","N955WN","TUL","19:40","19:57","17"
"WN","04/05/2022","0302","N7833A","MCI","14:10","14:17","7"
"WN","04/05/2022","0310","N8643A","SJC","09:20","09:25","5"
"WN","04/05/2022","0314","N8643A","SJC","15:40","15:49","9"
"WN","04/05/2022","0329","N8801Q","OAK","08:10","08:09","-1"
"WN","04/05/2022","0356","N8570W","DEN","13:35","13:37","2"
"WN","04/05/2022","0365","N7822A","SAT","20:35","21:25","50"
"WN","04/05/2022","0382","N910WN","OMA","21:00","20:54","-6"
"WN","04/05/2022","0398","N237WN","BZN","09:05","09:00","-5"
"WN","04/05/2022","0399","N7883A","SFO","22:30","22:27","-3"
"WN","04/05/2022","0431","N7886A","SFO","19:20","19:30","10"
"WN","04/05/2022","0460","N8316H","MDW","09:40","09:42","2"
"WN","04/05/2022","0471","N725SW","IAH","09:15","09:38","23"
"WN","04/05/2022","0473","N453WN","PDX","10:10","10:10","0"
"WN","04/05/2022","0485","N745SW","ABQ","14:45","14:44","-1"
"WN","04/05/2022","0488","N459WN","ONT","18:25","18:34","9"
"WN","04/05/2022","0491","N8308K","BNA","05:10","05:18","8"
"WN","04/05/2022","0513","N296WN","LGB","08:30","08:43","13"
"WN","04/05/2022","0518","N966WN","PHX","22:25","22:21","-4"
"WN","04/05/2022","0553","N7868K","LAX","20:35","20:33","-2"
"WN","04/05/2022","0559","N8513F","AUS","15:40","15:44","4"
"WN","04/05/2022","0562","N8542Z","HOU","07:45","08:09","24"
"WN","04/05/2022","0579","N7857B","SMF","18:10","19:50","100"
"WN","04/05/2022","0581","N431WN","SMF","15:35","15:44","9"
"WN","04/05/2022","0597","N7723E","PIT","11:50","12:03","13"
"WN","04/05/2022","0605","N7868K","BOI","16:00","16:09","9"
"WN","04/05/2022","0609","N8302F","OAK","21:05","23:17","132"
"WN","04/05/2022","0620","N967WN","BUR","10:40","11:02","22"
"WN","04/05/2022","0640","N438WN","PDX","22:00","00:06","126"
"WN","04/05/2022","0660","N8614M","DEN","14:55","15:41","46"
"WN","04/05/2022","0678","N452WN","IND","18:10","18:45","35"
"WN","04/05/2022","0679","N8652B","ABQ","21:55","22:41","46"
"WN","04/05/2022","0686","N247WN","TUS","17:30","17:33","3"
"WN","04/05/2022","0690","N218WN","PHX","17:35","18:06","31"
"WN","04/05/2022","0696","N8579Z","SAN","07:40","07:52","12"
"WN","04/05/2022","0757","N7830A","LBB","11:25","11:39","14"
"WN","04/05/2022","0758","N7830A","SJC","17:05","17:06","1"
"WN","04/05/2022","0772","N7815L","BUR","06:45","06:42","-3"
"WN","04/05/2022","0773","N8748Q","SLC","16:25","16:49","24"
"WN","04/05/2022","0804","N442WN","SMF","08:40","08:41","1"
"WN","04/05/2022","0820","N490WN","AUS","13:10","13:42","32"
"WN","04/05/2022","0836","N570WN","ORD","09:30","09:40","10"
"WN","04/05/2022","0847","N8617E","SLC","05:35","05:36","1"
"WN","04/05/2022","0851","N447WN","PHX","06:20","06:17","-3"
"WN","04/05/2022","0854","N7828A","MCI","20:55","21:15","20"
"WN","04/05/2022","0856","N7884G","BUR","12:15","12:14","-1"
"WN","04/05/2022","0858","N925WN","LGB","14:55","15:42","47"
"WN","04/05/2022","0864","N8748Q","SAN","12:15","12:12","-3"
"WN","04/05/2022","0866","N8690A","SAN","16:10","16:54","44"
"WN","04/05/2022","0879","N252WN","BNA","14:10","14:47","37"
"WN","04/05/2022","0885","N8751R","OGG","17:40","18:24","44"
"WN","04/05/2022","0899","N477WN","GEG","21:30","21:51","21"
"WN","04/05/2022","0923","N8520Q","OKC","19:25","21:28","123"
"WN","04/05/2022","0931","N279WN","BUR","14:05","15:44","99"
"WN","04/05/2022","0934","N274WN","MAF","17:25","18:29","64"
"WN","04/05/2022","0936","N8575Z","BOI","11:30","12:00","30"
"WN","04/05/2022","0954","N8804L","LAX","11:25","11:40","15"
"WN","04/05/2022","0957","N773SA","COS","15:45","15:50","5"
"WN","04/05/2022","0974","N8570W","PHX","18:55","20:09","74"
"WN","04/05/2022","0979","N935WN","GEG","10:25","10:22","-3"
"WN","04/05/2022","0983","N403WN","RNO","22:20","00:03","103"
"WN","04/05/2022","0988","N946WN","SEA","12:00","12:00","0"
